party,votes_2021,votes_2026,vote_change
AIADMK,15390974.0,10462146.0,-4928828.0
AIMIM,3134.0,0.0,-3134.0
AISMK,6583.0,0.0,-6583.0
AITC,963.0,0.0,-963.0
ALL PENSIONER'S PARTY,0.0,55.0,55.0
AMMK,1085915.0,425345.0,-660570.0
Aanaithinthiya Jananayaka Pathukappu Kazhagam,562.0,22964.0,22402.0
Ahila India Dhayaga Makkal Munnetra Katchi,0.0,283.0,283.0
Ahimsa Socialist Party,2716.0,321.0,-2395.0
Akhil Bharat Hindu Mahasabha,1930.0,0.0,-1930.0
Akhila India Jananayaka Makkal Katchi (Dr. Isaac),168.0,0.0,-168.0
Akila India Vallalar Peravai,379.0,0.0,-379.0
Akila Inthiya Makkal Marumalarchi Kazhakam,0.0,425.0,425.0
All  India  Pattali  Munnetra Katchi,351.0,0.0,-351.0
All India Forward Bloc,0.0,4455.0,4455.0
All India Jananayaka Makkal Kazhagam,2337.0,1415.0,-922.0
All India MGR Makkal Munnetra Kazhagam,622.0,0.0,-622.0
All India Majlis-E-Inquilab-E-Millat,0.0,168.0,168.0
All India Puratchi Thalaivar Makkal Munnettra Kazhagam,0.0,133473.0,133473.0
All India Uzhavargal Uzhaippalargal Katchi,1594.0,578.0,-1016.0
All India Youth Development Party,280.0,1203.0,923.0
All Pensioner’s Party,482.0,0.0,-482.0
Ambedkar Political Party,177.0,0.0,-177.0
Ambedkarite Party of India,1203.0,0.0,-1203.0
Anaithindia Samudaya Munnetra Kazhagam,112.0,224.0,112.0
Anaithinthiya Anna Dravida Makkal Seyal katchi,0.0,1462.0,1462.0
Anaithu Makkal Arasiyal Katchi,3255.0,0.0,-3255.0
Anaithu Makkal Munnetra Kazhagam,232.0,0.0,-232.0
Anaithu Makkal Puratchi Katchi,7040.0,0.0,-7040.0
Anaithu Ulaga Tamilargal Munnetra Kalagam,497.0,0.0,-497.0
Anna Dravidar Kazhagam,4198.0,0.0,-4198.0
Anna MGR Dravida Makkal Kalgam,3157.0,295.0,-2862.0
Anna MGR Dravida Munnetra Kazhagam,160.0,0.0,-160.0
Anna Makkal Katchi,0.0,1197.0,1197.0
Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,6934.0,3034.0,-3900.0
Anti Corruption Dynamic Party,0.0,4558.0,4558.0
BJP,1213510.0,1467024.0,253514.0
BSP,101326.0,0.0,-101326.0
Bahujan Dravida Party,1508.0,780.0,-728.0
Bahujan Samaj Party,0.0,53369.0,53369.0
Bharat Jan Chikitsa Party,0.0,276.0,276.0
Bharatha Makkal Katchi,0.0,183.0,183.0
Bhartiya Manavadhikaar Federal Party,63.0,0.0,-63.0
CPI,504537.0,326488.0,-178049.0
CPI(M),390819.0,293817.0,-97002.0
CPI(ML)(L),5135.0,0.0,-5135.0
Communist Party of India (Marxist-Leninist) (Liberation),0.0,3983.0,3983.0
Communist Party of India (Marxist-Leninist) Red Star,0.0,790.0,790.0
DMDK,200156.0,589500.0,389344.0
DMK,17430100.0,11929144.0,-5500956.0
Democratic National Allegiance,0.0,311.0,311.0
Desa Makkal Munnetrak Kazhagam,0.0,278.0,278.0
Desa Makkal Munnetrak Kazhgam,200.0,0.0,-200.0
Desiya Makkal Sakthi Katchi,4125.0,2279.0,-1846.0
Desiya Sirupanmayinar Makkal Iyakkam,1264.0,0.0,-1264.0
Dhesiya Makkal Kazhagam,3532.0,0.0,-3532.0
Dravida Jananayaga Makkal Katchi,0.0,486.0,486.0
Dravida Murpokku Makkal Katchi,197.0,0.0,-197.0
Ezhuchi Tamilargal Munnetra Kazhagam,268.0,802.0,534.0
Ganasangam Party of India,3246.0,3235.0,-11.0
Hindustan Janta Party,73.0,0.0,-73.0
IJK,39288.0,0.0,-39288.0
INC,1976527.0,1661312.0,-315215.0
IND,643805.0,524744.0,-119061.0
IUML,222263.0,142465.0,-79798.0
Ilantamilar Munnani Kazhagam,146.0,0.0,-146.0
Indhia Kudiarasu Katchi,110.0,82.0,-28.0
Indhu Dravida Makkal Katchi,0.0,2112.0,2112.0
India Dravida Makkal Munnetra Katchi,956.0,0.0,-956.0
India Suyarajya Party,0.0,224.0,224.0
Indian Christian Front,0.0,85.0,85.0
Indian National League,0.0,457.0,457.0
JD(S),1189.0,0.0,-1189.0
Jebamani Janata,113.0,586.0,473.0
Kamarajar Deseeya Congress,67.0,244.0,177.0
Kongu  Desa  Marumalarchi  Makkal  Katchi,943.0,0.0,-943.0
LJP,970.0,0.0,-970.0
MAKKAL SAKTHI KATCHI,112.0,424.0,312.0
MGR Makkal Katchi,504.0,131.0,-373.0
MNM,1210337.0,0.0,-1210337.0
Mahathma Makkal Munnetra Kazhakam,52.0,0.0,-52.0
Makkal Arasial Katchi,0.0,1008.0,1008.0
Makkal Munnetra Katchi,0.0,305.0,305.0
Makkal Munnetra Peravai,1276.0,0.0,-1276.0
Makkal Murasu Katchi,0.0,94.0,94.0
Makkal Nala Kazhagam,519.0,285.0,-234.0
Makkal Nalvaazhvuk Katchi,104.0,461.0,357.0
Makkal Sananayaga Kudiyarasu Katchi,0.0,149.0,149.0
"Makkal Sananayaga Kudiyarasu Katchi,",295.0,0.0,-295.0
"Makkal Thilagam Munnetra Kazhagam,",102.0,0.0,-102.0
Makkalatchi Katchi,255.0,46.0,-209.0
Manitha Urimaigal Kalaagam,527.0,0.0,-527.0
Mannin Maithargal Kazhagam,0.0,524.0,524.0
My India Party,11602.0,0.0,-11602.0
NCP,3371.0,0.0,-3371.0
NOTA,345538.0,199801.0,-145737.0
NPP,1187.0,0.0,-1187.0
NTK,3041974.0,1972537.0,-1069437.0
Naadaalum Makkal Katchi,1705.0,9715.0,8010.0
Naam Indiar Party,4073.0,4474.0,401.0
Nam India Naam Indiyar Katchi,375.0,0.0,-375.0
Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,0.0,1466.0,1466.0
Namadhu Makkal Katchi,1478.0,756.0,-722.0
Namathu Kongu Munnetra Kalagam,425.0,200.0,-225.0
National Democratic Party of South India,1073.0,0.0,-1073.0
National Maha Sabha Party,0.0,278.0,278.0
Nationalist Janshakti Party,0.0,588.0,588.0
New Generation People's Party,0.0,476.0,476.0
New Generation People’s Party,5403.0,0.0,-5403.0
Our Mahathma National Party,0.0,508.0,508.0
PMK,1758774.0,1070745.0,-688029.0
Parivartan Rajniti Party,0.0,291.0,291.0
Party for the Rights of Other backward Classes,0.0,4101.0,4101.0
People's Party of India(secular),331.0,0.0,-331.0
Periyar Ambedkar Munnetra Kazhagam (PAMK),0.0,274.0,274.0
Proutist Sarva Samaj,0.0,130.0,130.0
Puthiya Makkal Tamil Desam Katchi,0.0,2651.0,2651.0
Puthiya Tamilagam,39614.0,93652.0,54038.0
RJD,478.0,0.0,-478.0
RPI(A),2510.0,0.0,-2510.0
RSPS,361.0,0.0,-361.0
Rashtriya Janata Dal,0.0,402.0,402.0
Rashtriya Samaj Dal (R),0.0,1760.0,1760.0
Rashtriya Ulama Council,82.0,0.0,-82.0
Republican Party of India,0.0,1692.0,1692.0
Republican Party of India  (Sivaraj),62.0,0.0,-62.0
Republican Party of India (A),0.0,763.0,763.0
Republican Party of India (Athawale),0.0,11047.0,11047.0
SDPI,28051.0,0.0,-28051.0
SHS,1205.0,0.0,-1205.0
SP,162.0,0.0,-162.0
SUCI,855.0,0.0,-855.0
Samaniya Makkal Nala Katchi,1933.0,5144.0,3211.0
Samata Party,291.0,712.0,421.0
Socialist Unity Centre Of India (COMMUNIST),0.0,642.0,642.0
South India Forward Bloc,404.0,0.0,-404.0
TVK,0.0,17226209.0,17226209.0
Tamil Manila Murpokku Dravida Kazhagam,0.0,319.0,319.0
Tamil Nadu Ilangyar Katchi,22953.0,355.0,-22598.0
Tamil Telugu National Party,176.0,642.0,466.0
Tamilaga Makkal Nala Katchi,0.0,1555.0,1555.0
Tamilaga Makkal Thannurimai Katchi,2690.0,0.0,-2690.0
Tamilar Makkal Katchi,0.0,2056.0,2056.0
Tamilnadu Mahatma Gandhi Makkal Katchi,162.0,71.0,-91.0
Tamilnadu Makkal Nalvazhvu Periyakkam,120.0,0.0,-120.0
Tamizhaga Murpokku Makkal Katchi,667.0,998.0,331.0
Tamizhaga Vaazhvurimai Katchi,0.0,74809.0,74809.0
Thakkam Katchi,0.0,2416.0,2416.0
Thamizh Desiya Munnetra Kazhagam,0.0,1109.0,1109.0
Thamizh Perarasu Katchi,0.0,505.0,505.0
Thamizhaga Dravidar Katchi,0.0,120.0,120.0
Thamizhaga Munnetra Congress,116.0,186.0,70.0
Thamizhaka Padaippalar Makkal Katchi,0.0,4020.0,4020.0
Tipu Sultan Party,2050.0,0.0,-2050.0
Ulaga Makkal Katchi,235.0,0.0,-235.0
United States of India Party,1980.0,0.0,-1980.0
Universal Brotherhood Movement,99.0,0.0,-99.0
VCK,457763.0,540056.0,82293.0
Vada Tamil Nadu Munnetra Katchi,0.0,635.0,635.0
Valamaana  Tamizhagam   Katchi,261.0,0.0,-261.0
Vanchit Bahujan Aaghadi,0.0,1027.0,1027.0
Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,7324.0,5624.0,-1700.0
Vidial Valarchi Perani,105.0,235.0,130.0
Viduthalai Kalam Katchi,0.0,211.0,211.0
Viro Ke Vir Indian Party,0.0,498.0,498.0
Vishwa Tamil Kazhagam,0.0,3576.0,3576.0
